ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4	"ENSG00000108788"	"MLX"	chr17	+	42568469	42568943	42568836	42568943	42567618	42567655	4	52,48,48	4,2,2	97,371,726	31,57,136	-2	-1	1.6320457239e-05	6.5281828956e-05
6	"ENSG00000182473"	"EXOC7"	chr17	-	76090328	76090481	76090328	76090397	76091142	76091235	6	4,2,5	4,0,0	2,0,1	20,19,42	-2	-1	3.11182998258e-08	1.8670979895480001e-07
8	"ENSG00000109046"	"WSB1"	chr17	+	27307743	27309272	27309099	27309272	27306781	27306882	8	53,43,44	6,6,8	33,67,171	23,133,99	-2	-1	1.80970105568e-09	2.171641266816e-08
9	"ENSG00000062716"	"VMP1"	chr17	+	59764970	59765138	59765051	59765138	59738836	59738947	9	25,25,36	0,0,0	225,377,194	2,0,0	-2	-1	1	1.0
14	"ENSG00000169727"	"GPS1"	chr17	+	82052255	82052459	82052377	82052459	82051896	82051964	14	0,0,0	1,0,0	5,3,12	2,0,9	-2	-1	1	1.0
15	"ENSG00000169727"	"GPS1"	chr17	+	82052258	82052459	82052377	82052459	82051896	82051964	15	0,0,0	1,0,0	0,1,5	2,0,9	-2	-1	1	1.0
16	"ENSG00000169727"	"GPS1"	chr17	+	82053233	82053366	82053273	82053366	82052377	82052459	16	1,1,0	5,0,0	0,9,7	12,30,45	-2	-1	1	1.0
23	"ENSG00000168256"	"NKIRAS2"	chr17	+	42022375	42022640	42022398	42022640	42021563	42021671	23	0,2,2	31,48,32	2,0,3	79,132,390	-2	-1	1	1.0
24	"ENSG00000168256"	"NKIRAS2"	chr17	+	42022564	42022640	42022569	42022640	42022398	42022472	24	0,5,2	1,0,0	5,21,34	1,0,4	-2	-1	0.156772360282	0.3762536646768
25	"ENSG00000132530"	"XAF1"	chr17	+	6759255	6759718	6759661	6759718	6758088	6758224	25	6,5,0	2,1,3	1,3,15	3,28,104	-2	-1	0.0150275906547	0.0450827719641
27	"ENSG00000108654"	"DDX5"	chr17	-	64500548	64502069	64500548	64500773	64502161	64502223	27	503,518,416	0,0,0	709,2269,1732	0,0,1	-2	-1	1	1.0
29	"ENSG00000108666"	"C17orf75"	chr17	-	32339812	32339938	32339812	32339924	32341203	32341284	29	4,1,0	0,0,0	32,104,71	4,9,2	-2	-1	1	1.0
