ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"ENSG00000266173"	"STRADA"	chr17	-	63704004	63704047	63702818	63703751	63704340	63704582	2	44,30,37	0,0,1	71,125,164	1,3,1	-2	-1	0.544791328511	1.0
3	"ENSG00000266173"	"STRADA"	chr17	-	63704004	63704047	63702818	63703751	63704431	63704582	3	27,9,11	0,0,0	40,65,68	0,4,0	-2	-1	0.696208853788	1.0
15	"ENSG00000266173"	"STRADA"	chr17	-	63723297	63723326	63714005	63714108	63726637	63726695	15	0,0,0	4,2,0	3,16,15	20,32,100	-2	-1	1	1.0
17	"ENSG00000266173"	"STRADA"	chr17	-	63726637	63726695	63714005	63714108	63728333	63728384	17	7,1,3	3,2,1	30,64,238	9,36,65	-2	-1	0.460192779255	1.0
18	"ENSG00000266173"	"STRADA"	chr17	-	63726637	63726695	63714005	63714108	63728357	63728413	18	2,2,0	0,0,3	21,28,153	20,42,75	-2	-1	0.0845369515014	0.39450577367320006
21	"ENSG00000266173"	"STRADA"	chr17	-	63741167	63741253	63728333	63728413	63741740	63741764	21	0,0,0	12,20,16	0,0,2	52,173,563	-2	-1	1	1.0
22	"ENSG00000266173"	"STRADA"	chr17	-	63741453	63741663	63728333	63728413	63741740	63741788	22	0,0,0	12,20,16	0,0,1	52,173,563	-2	-1	1	1.0
24	"ENSG00000175866"	"BAIAP2"	chr17	+	81106744	81106907	81106077	81106146	81108474	81108509	24	91,38,35	0,0,0	74,103,98	6,0,0	-2	-1	0.217097569547	0.9118097920974
25	"ENSG00000175866"	"BAIAP2"	chr17	+	81110913	81110955	81108474	81108509	81115769	81116225	25	33,25,15	7,1,0	9,9,5	35,71,55	-2	-1	0	0.0
26	"ENSG00000175866"	"BAIAP2"	chr17	+	81110913	81110959	81108474	81108509	81115769	81116224	26	83,44,33	7,1,0	19,27,10	35,71,55	-2	-1	0	0.0
27	"ENSG00000175662"	"TOM1L2"	chr17	-	17850892	17850952	17848822	17848859	17861475	17861551	27	36,22,19	0,0,0	5,42,58	0,0,4	-2	-1	0.507831701303	1.0
28	"ENSG00000175662"	"TOM1L2"	chr17	-	17857768	17857855	17850892	17850952	17861475	17861551	28	1,0,0	18,10,10	0,57,76	2,23,35	-2	-1	1.14620868352e-08	1.3754504202240002e-07
36	"ENSG00000108788"	"MLX"	chr17	+	42567618	42567655	42567067	42567166	42568836	42568943	36	4,2,2	0,0,0	29,57,130	1,0,2	-2	-1	0.661323718981	1.0
37	"ENSG00000108788"	"MLX"	chr17	+	42568469	42568559	42567618	42567655	42568836	42568943	37	86,66,73	4,2,2	170,673,1161	31,57,136	-2	-1	3.16979173512e-05	0.0002633170125737455
38	"ENSG00000108788"	"MLX"	chr17	+	42569203	42569303	42568076	42568943	42569506	42569606	38	28,29,35	0,0,0	45,161,242	2,0,0	-2	-1	1	1.0
43	"ENSG00000182473"	"EXOC7"	chr17	-	76090328	76090397	76089174	76089320	76091142	76091235	43	12,5,4	2,0,0	29,19,58	5,52,56	-2	-1	1.77788183915e-05	0.00016593563832066667
